Nome;Lattes
Betsy Kilian Martins Luiz;http://lattes.cnpq.br/9279469508838545
Constanza Marin de Los Rios Odebrecht;http://lattes.cnpq.br/4237275448771625
David Rivero Tames;http://lattes.cnpq.br/5926914958089809
Denise Arliane Amarante Camargo;http://lattes.cnpq.br/5016325924180840
Fabiano Rodrigues Palma;http://lattes.cnpq.br/8419303621727005
Priscila de Souza;http://lattes.cnpq.br/0665687834644535
Ricardo Ferreira;http://lattes.cnpq.br/9629614925227729
Ricardo Pinheiro de Faria;http://lattes.cnpq.br/9256758436284913
Rita de Cássia Gabrielle Souza Lima;http://lattes.cnpq.br/5256945243349535
Rubens Nazareno Garcia;http://lattes.cnpq.br/4021343457320156
Silvana Marchiori de Araújo     ;http://lattes.cnpq.br/9975563669648580
;
