Nome;Lattes
Ana Paula Lisboa Sohn;http://lattes.cnpq.br/4002119166037235
Carlos Alberto Tomelin;http://lattes.cnpq.br/3074835055057374
Carlos Marcelo Ardigo;http://lattes.cnpq.br/2125766582707196
Diva de Mello Rossini;http://lattes.cnpq.br/4061533758252814
Fabricia Durieux;http://lattes.cnpq.br/5395452278117926
Francisco Antonio dos Anjos;http://lattes.cnpq.br/5675009830173154
Luciano Torres Tricarico;http://lattes.cnpq.br/9420174776726570
Luiz Carlos da Silva Flores;http://lattes.cnpq.br/7475083040381574
Marcos Arnhold Junior;http://lattes.cnpq.br/2687006995251493
Pablo Flores Limberger;http://lattes.cnpq.br/3893934127523780
Paulo dos Santos Pires;http://lattes.cnpq.br/3480178807550158
Rodolfo Wendhausen Krause;http://lattes.cnpq.br/9990704114202868
Sara Joana Gadotti dos Anjos;http://lattes.cnpq.br/6577619488007785
Yara Christina Cesario Pereira;http://lattes.cnpq.br/5786754476743715
