;Nome;Lattes;Início do Vínculo;Fim do Vínculo;;Início no Quadriênio;Fim no Quadriênio;Participação no Quadriênio;;ID Scopus
1;Alejandro Rafael García Ramírez;http://lattes.cnpq.br/7650712967257738;01/03/2007;-;;01/01/2017;31/12/2020;1;;57198233820
2;Aluizio Haendchen Filho;http://lattes.cnpq.br/7194396439993622;16/05/2018;-;;16/05/2018;31/12/2020;0,7;;8960964700
3;André Luís Alice Raabe;http://lattes.cnpq.br/3163271519013006;01/03/2007;-;;01/01/2017;31/12/2020;1;;56114047900
4;Anita Maria da Rocha Fernandes;http://lattes.cnpq.br/8716094042714766;01/03/2007;-;;01/01/2017;31/12/2020;1;;42861207900
5;Antonio Carlos Sobieransky;http://lattes.cnpq.br/3516067759610109;02/03/2015;22/03/2018;;01/01/2017;22/03/2018;0,3;;25641727900
6;Cesar Albenes Zeferino;http://lattes.cnpq.br/9888386354516064;01/03/2007;-;;01/01/2017;31/12/2020;1;;6507922313
7;Eros Comunello;http://lattes.cnpq.br/6848996939728495;01/03/2007;-;;01/01/2017;31/12/2020;1;;6602360466
8;Laio Oriel Seman;http://lattes.cnpq.br/8450346716756143;01/08/2019;-;;01/08/2019;31/12/2020;0,4;;55608292500
9;Marcello Thry;http://lattes.cnpq.br/4748551071146032;01/03/2007;-;;01/01/2017;31/12/2020;1;;25029298500
10;Michelle Silva Wangham;http://lattes.cnpq.br/8951163088992771;01/03/2008;-;;01/01/2017;31/12/2020;1;;22434427700
11;Rafael de Santiago;http://lattes.cnpq.br/5073911182921995;01/08/2017;16/07/2018;;01/08/2017;16/07/2018;0,2;;36171557600
12;Raimundo Celeste Ghizone Teive;http://lattes.cnpq.br/6094793991932450;01/03/2007;-;;01/01/2017;31/12/2020;1;;6506495694
13;Rudimar Luís Scaranto Dazzi;http://lattes.cnpq.br/9340343036686762;01/03/2010;-;;01/01/2017;31/12/2020;1;;22733299000
14;Valderi Reis Quietinho Leithardt;http://lattes.cnpq.br/9051317571298260;19/10/2016;10/08/2020;;01/01/2017;10/08/2020;0,9;;35303109600
15;Wemerson Délcio Parreira;http://lattes.cnpq.br/0878310617104095;01/08/2018;-;;01/08/2018;31/12/2020;0,6;;47061695000
