;Nome;Lattes;Início do Vínculo;Fim do Vínculo;ID Scopus;Início no Quadriênio;Fim no Quadriênio;Participação no Quadriênio
1;Alejandro Rafael García Ramírez;http://lattes.cnpq.br/3827444548540732;01/03/2007;-;57198233820;01/01/2017;31/12/2020;1
2;Aluizio Haendchen Filho;http://lattes.cnpq.br/4459319690511124;16/05/2018;-;8960964700;16/05/2018;31/12/2020;0,7
3;André Luís Alice Raabe;http://lattes.cnpq.br/8040992770272487;01/03/2007;-;56114047900;01/01/2017;31/12/2020;1
4;Anita Maria da Rocha Fernandes;http://lattes.cnpq.br/9863290795924641;01/03/2007;-;42861207900;01/01/2017;31/12/2020;1
5;Antonio Carlos Sobieransky;http://lattes.cnpq.br/8729349648623085;02/03/2015;22/03/2018;25641727900;01/01/2017;22/03/2018;0,3
6;Cesar Albenes Zeferino;http://lattes.cnpq.br/2165795262850820;01/03/2007;-;6507922313;01/01/2017;31/12/2020;1
7;Eros Comunello;http://lattes.cnpq.br/5908174304250329;01/03/2007;-;6602360466;01/01/2017;31/12/2020;1
8;Laio Oriel Seman;http://lattes.cnpq.br/7540220048757939;01/08/2019;-;55608292500;01/08/2019;31/12/2020;0,4
9;Marcello Thry;http://lattes.cnpq.br/8280708865279653;01/03/2007;-;25029298500;01/01/2017;31/12/2020;1
10;Michelle Silva Wangham;http://lattes.cnpq.br/0578510569772455;01/03/2008;-;22434427700;01/01/2017;31/12/2020;1
11;Rafael de Santiago;http://lattes.cnpq.br/4553798818973849;01/08/2017;16/07/2018;36171557600;01/08/2017;16/07/2018;0,2
12;Raimundo Celeste Ghizone Teive;http://lattes.cnpq.br/2007011625196648;01/03/2007;-;6506495694;01/01/2017;31/12/2020;1
13;Rudimar Luís Scaranto Dazzi;http://lattes.cnpq.br/2238769370160138;01/03/2010;-;22733299000;01/01/2017;31/12/2020;1
14;Valderi Reis Quietinho Leithardt;http://lattes.cnpq.br/3929824514680056;19/10/2016;10/08/2020;35303109600;01/01/2017;10/08/2020;0,9
15;Wemerson Délcio Parreira;http://lattes.cnpq.br/8498195897687261;01/08/2018;-;47061695000;01/08/2018;31/12/2020;0,6
;;;;;;Número médio de docentes;;12,1
