Nome Trabalho;Nome Evento Cadastrado;Nome Evento Canônico
Análise multicritérios aplicada à avaliação de desempenho de operadores de sistemas de transmissão;13o Congreso Interamericano de Computación aplicada a la industria de procesos;CONGRESO INTERAMERICANO DE COMPUTACIÓN APLICADA A LA INDUSTRIA DE PROCESOS
Probabilidade de errro humano e fatores que modelam o desempenho de operadores em centros de controle de sistemas elétricos;13o Congreso Interamericano de Computación aplicada a la industria de procesos;CONGRESO INTERAMERICANO DE COMPUTACIÓN APLICADA A LA INDUSTRIA DE PROCESOS
Development of an IoT Architecture for an Electronic Cane;14ª Conferência Ibérica de Sistemas e Tecnologias de Informação;IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES
Intelligent system for automatic performance evaluation of distribution system operators;2017 19th International Conference on Intelligent System Application to Power Systems (ISAP);International Conference on Intelligent System Applications to Power Systems
Providing a cloud-based smart meter solution to control and monitor electrical quantities of industrial machines;2017 IEEE 13th International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob);IEEE International Conference on Wireless and Mobile Computing, Networking and Communications
Deadline, Energy and Buffer-Aware Task Mapping Optimization in NoC-Based SoCs Using Genetic Algorithms;2017 VII Brazilian Symposium on Computing Systems Engineering (SBESC);Brazilian Symposium on Computing System Engineering
RedScarf;2017 VII Brazilian Symposium on Computing Systems Engineering (SBESC);Brazilian Symposium on Computing System Engineering
Confidentiality and Authenticity in a Platform Based on Network-on-Chip;2017 VII Brazilian Symposium on Computing Systems Engineering (SBESC);Brazilian Symposium on Computing System Engineering
Effective Ant Colony Optimization Solution for the Brazilian Family Health Team Scheduling Problem;2018 IEEE 30th International Conference on Tools with Artificial Intelligence (ICTAI);IEEE International Conference on Tools with Artificial Intelligence
Energy-Based Voice Activity Detection Algorithm using Gaussian and Cauchy's Kernels;"2018 IEEE 9th Latin American Symposium on Circuits &amp; Systems (LASCAS)";IEEE Latin American Symposium on Circuits and Systems
Analyzing the Error Propagation in a Parameterizable Network-on-Chip Router;2019 IEEE Latin American Test Symposium (LATS);Ieee Latin American Test Workshop
