Nome Trabalho;Nome Evento Cadastrado;Nome Evento Canônico
Usability study of a brain-computer interface applied to people with cerebral palsy;Proc. of th 10 Internacional Conference PErvasive Technologies Related to Assistive Environments PEtra;ACM International Conference on PErvasive Technologies Related to Assistive Environments
Explorando tecnologias e recursos para a monitoração de odores ambientais;Anais III SIMPÓSIO CIÊNCIA E TECNOLOGIA AMBIENTAL;SIMPÓSIO CIÊNCIA E TECNOLOGIA AMBIENTAL
Enseñanza de Conceptos de Vibraciones Mecánicas utilizando la simulación computacional apoyada en la plataforma Scilab / Matlab;Memórias do 11no. Congreso Internacional de Educación Superior Universidad 2018;CONGRESO INTERNACIONAL DE EDUCACIÓN SUPERIOR
Teaching Programming Concepts Using Educational Robotics, Supported by the Arduino Platform: An Application in the Industrial Computer Learning Course;CLEI - LACLO - XIII Latin American Conference on Learning Technologies;Latin American Conference on Learning Objects and Technologies
An alternative communication tool in cases of aphasia;Anais da 15ª Conferência Ibérica de Sistemas e Tecnologias de Informação;IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES
Avaliação da satisfação do usuário: um estudo de caso de respostas psicofisiológicas a estímulos audiovisuais;Anais do XX Congresso brasileiro de ergonomia;CONGRESSO BRASILEIRO DE ERGONOMIA
Deployment of mobile and fixed air sensor platforms in the city of Florianpolis, Brazil: Preliminary results;Community Modeling and Analysis System (CMAS) Conference;COMMUNITY MODELING AND ANALYSIS SYSTEM CONFERENCE
An approach to evaluate adherence to the theme and the argumentative structure of essays;: Proceedings of the 22nd International Conference, KES-2018, Belgrade, Serbia;International Conference on Knowledge-Based and Intelligent Information & Engineering Systems
Um Plugin para Aprendizagem de Lógica e Programação no Portugol Studio Baseado em Sistemas Adaptativos com Trilhas de Aprendizagem;Anais dos Workshops do VIII Congresso Brasileiro de Informática na Educação (CBIE 2019);Workshops do Congresso Brasileiro de Informática na Educação
Imbalanced Learning Techniques for Improving the Performance of Statistical Models in Automated Essay Scoring;Proceedings of the 23nd International Conference, KES-2019, Budapest, Hungary;International Conference on Knowledge-Based and Intelligent Information & Engineering Systems
